ticker,entry_date,entry_price,exit_date,exit_price,pnl,pnl_pct,is_whipsaw
KRW-BTC,2017-10-05,4980918.0,2017-10-05,4923537.0,-0.0031270980834960938,-1.1520147323608398,1.0
KRW-ETH,2017-10-10,352939.9375,2017-10-10,343828.0,-0.006676867604255676,-2.5817275047302246,1.0
KRW-XRP,2017-10-08,278.6716613769531,2017-10-12,285.85699462890625,0.006294906139373779,2.578425407409668,0.0
KRW-BTC,2017-10-09,5358633.0,2017-10-17,6453771.5,0.05075703561306,20.4368953704834,0.0
KRW-BTC,2017-10-27,6952351.0,2017-10-27,6706645.0,-0.009503036737442017,-3.534144163131714,1.0
KRW-ETH,2017-11-03,351465.0,2017-11-04,339830.0,-0.008707433938980103,-3.3104300498962402,0.0
KRW-XRP,2017-11-03,259.923828125,2017-11-04,226.88648986816406,-0.033064112067222595,-12.710391998291016,0.0
KRW-BTC,2017-10-29,6843448.0,2017-11-06,8055970.0,0.045780301094055176,17.717992782592773,0.0
KRW-ETH,2017-11-06,345292.3125,2017-11-07,338030.90625,-0.005598217248916626,-2.102971076965332,0.0
KRW-ETH,2017-11-08,351698.0,2017-11-10,340929.4375,-0.008032172918319702,-3.0618786811828613,0.0
KRW-XRP,2017-11-06,234.79795837402344,2017-11-10,232.8834991455078,-0.002250164747238159,-0.815361738204956,0.0
KRW-XRP,2017-11-13,244.23577880859375,2017-11-13,230.88449096679688,-0.014248102903366089,-5.466556549072266,1.0
KRW-ETH,2017-11-11,356967.71875,2017-11-16,365017.40625,0.0056438148021698,2.2550225257873535,0.0
KRW-ETH,2017-11-19,392111.5,2017-11-29,483758.0,0.059186577796936035,23.37256622314453,0.0
KRW-XRP,2017-11-22,269.1781005859375,2017-11-29,265.86700439453125,-0.0032486021518707275,-1.230078935623169,0.0
KRW-ETH,2017-11-29,578395.4375,2017-11-29,483758.0,-0.04482923448085785,-16.362064361572266,1.0
KRW-BTC,2017-11-19,8793074.0,2017-12-09,17760116.0,0.2586681842803955,101.97846984863281,0.0
KRW-BTC,2017-12-19,22918796.0,2017-12-21,22188900.0,-0.010385304689407349,-3.184705972671509,0.0
KRW-ETH,2017-12-12,639521.9375,2017-12-22,909445.0,0.13534748554229736,42.207000732421875,0.0
KRW-XRP,2017-12-12,301.66351318359375,2018-01-08,4002.997314453125,3.939112663269043,1226.9742431640625,0.0
KRW-BTC,2018-01-04,21890052.0,2018-01-09,24003992.0,0.034831464290618896,9.657085418701172,0.0
KRW-ETH,2018-01-03,1312329.125,2018-01-11,1664167.5,0.09702211618423462,26.81022834777832,0.0
KRW-XRP,2018-02-10,1122.7415771484375,2018-02-18,1224.387451171875,0.12323582172393799,9.053361892700195,0.0
KRW-ETH,2018-02-10,1054500.375,2018-02-21,1023488.0,-0.040939927101135254,-2.940952777862549,0.0
KRW-BTC,2018-02-10,10355648.0,2018-02-22,11757118.0,0.18455719947814941,13.533390045166016,0.0
KRW-BTC,2018-03-05,12901869.0,2018-03-06,12016988.0,-0.09913194179534912,-6.858551502227783,0.0
KRW-XRP,2018-03-05,1180.453857421875,2018-03-06,1009.4949951171875,-0.20852839946746826,-14.482468605041504,0.0
KRW-BTC,2018-03-19,9659443.0,2018-03-24,9575210.0,-0.012518882751464844,-0.8720278739929199,0.0
KRW-BTC,2018-04-09,7716847.0,2018-04-09,7446275.0,-0.04884481430053711,-3.506249189376831,1.0
KRW-XRP,2018-04-09,549.7075805664062,2018-04-10,530.7344970703125,-0.04685556888580322,-3.451484441757202,0.0
KRW-BTC,2018-04-18,8680071.0,2018-04-25,9824085.0,0.17361819744110107,13.179779052734375,0.0
KRW-ETH,2018-04-08,430174.15625,2018-04-25,681958.8125,0.7920750379562378,58.53086853027344,0.0
KRW-XRP,2018-04-15,702.0740356445312,2018-04-25,875.5619506835938,0.3260955810546875,24.710773468017578,0.0
KRW-BTC,2018-04-26,10257325.0,2018-04-27,9814090.0,-0.07704317569732666,-4.321157932281494,0.0
KRW-XRP,2018-04-29,956.987548828125,2018-04-30,909.5449829101562,-0.08695924282073975,-4.957490921020508,0.0
KRW-BTC,2018-04-29,10188554.0,2018-05-01,9891052.0,-0.05157613754272461,-2.9199600219726562,0.0
KRW-TRX,2018-04-15,44.61727523803711,2018-05-03,95.15239715576172,1.4970531463623047,113.26358032226562,0.0
KRW-BTC,2018-05-06,10961890.0,2018-05-07,10416789.0,-0.10296976566314697,-4.972690582275391,0.0
KRW-ETH,2018-04-28,724469.875,2018-05-07,838680.4375,0.2728971242904663,15.764713287353516,0.0
KRW-BTC,2018-06-02,8423547.0,2018-06-04,8243876.0,-0.043958067893981934,-2.1329641342163086,0.0
KRW-ETH,2018-06-02,647649.625,2018-06-07,656671.5,0.02704334259033203,1.3930201530456543,0.0
KRW-XRP,2018-06-02,695.1011352539062,2018-06-08,734.6325073242188,0.11351251602172852,5.687141418457031,0.0
